Name 	 Score 	 Formula 	 Identifier 
center of mass 	 0 	 \displaystyle {\begin{aligned}m+n&amp;=n+m&amp;&amp;(m,n\in M)\\(m+n)+p&amp;=m+(n+p)&amp;&amp;(m,n,p\in M)\\m+0_{M}&amp;=m&amp;&amp;(m\in M)\\(-m)+m&amp;=0_{M}&amp;&amp;(m\in M)\\r(sm)&amp;=(rs)m&amp;&amp;(m\in M,\;r,s\in R)\\1_{R}m&amp;=m&amp;&amp;(m\in M)\\r(m+n)&amp;=rm+rn&amp;&amp;(m,n\in M,\;r\in R)\\(r+s)m&amp;=rm+sm&amp;&amp;(m\in M,\;r,s\in R)\end{aligned}}	module 
center of mass 	 0 	 \displaystyle m={\frac {(1+CurrencyDrainRatio)}{(CurrencyDrainRatio+DesiredReserveRatio)}}	money multiplier 
center of mass 	 0 	 \displaystyle {\begin{aligned}R_{\ell }^{m}(\mathbf {r} )&amp;\equiv {\sqrt {\frac {4\pi }{2\ell +1}}}\;r^{\ell }Y_{\ell }^{m}(\theta ,\varphi )\\I_{\ell }^{m}(\mathbf {r} )&amp;\equiv {\sqrt {\frac {4\pi }{2\ell +1}}}\;{\frac {Y_{\ell }^{m}(\theta ,\varphi )}{r^{\ell +1}}}\end{aligned}}	solid harmonics 
center of mass 	 0 	 \displaystyle {\vec {g}}=-{\frac {Gm_{\oplus }}{{R_{\oplus }}^{2}}}{\vec {r}}	gravity of Earth 
center of mass 	 0 	 \displaystyle R\geq 1-(1-r)m	Tanner graph 
center of mass 	 0 	 \displaystyle -{\frac {\hbar ^{2}}{2m}}{\frac {d^{2}R(r)}{dr^{2}}}+[E-V_{\textrm {eff}}(r)]R(r)=0	Langer correction 
center of mass 	 0 	 \displaystyle \ \Phi (\mathbf {r} )=R_{l}(r)Y_{lm}(\theta ,\phi )	Gaussian orbital 
center of mass 	 0 	 \displaystyle RfD(mg/kg/day)={NOEL(mg/kg/day) \over Uf_{inter}*Uf_{intra}*Uf_{other}}	Reference dose 
center of mass 	 0 	 \displaystyle MR={\frac {SpringDisplacement}{WheelDisplacement}}	Motion ratio 
center of mass 	 0 	 \displaystyle \forall r,s\in R,m,n\in M	Glossary of module theory 
center of mass 	 0 	 \displaystyle {\begin{aligned}R^{-1}&amp;={\frac {1}{M^{2}}}\sum _{i\neq j}{\frac {m_{i}m_{j}}{\|{\vec {r}}_{i}-{\vec {r}}_{j}\|}}\\M&amp;=\sum _{i}m_{i}\\G\end{aligned}}	N-body units 
centripetal acceleration 	 0 	 \displaystyle \omega ={\frac {d\phi }{dt}}={\frac {v_{\perp }}{r}}	radial velocity 
centripetal acceleration 	 0 	 \displaystyle e_{v}=m_{v}g_{v}r\ln \left({S \over r}\right)	Peek's law 
centripetal acceleration 	 0 	 \displaystyle \%{\mbox{ difference}}=\left({\frac {r_{solute}-r_{solvent}}{r_{solvent}}}\right)\times 100\%\leq 15\%	Hume-Rothery rules 
centripetal acceleration 	 0 	 \displaystyle {\mathit {Go}}={\frac {vl_{\mathrm {b} }}{\nu }}{\sqrt {\frac {l_{\mathrm {b} }}{r_{\mathrm {c} }}}}	Görtler number 
centripetal acceleration 	 0 	 \displaystyle v=r_{A}\omega _{A}=r_{B}\omega _{B}	gear ratio 
centripetal acceleration 	 0 	 \displaystyle r'(t)=r(t)-vt	Galilean invariance 
centripetal acceleration 	 0 	 \displaystyle T(v_{1},v_{2},\ldots ,v_{r})=T(v_{\sigma 1},v_{\sigma 2},\ldots ,v_{\sigma r})	symmetric tensor 
centripetal acceleration 	 0 	 \displaystyle x(u,v)=\left(R+r\cos {v}\right)\cos {u}	Spring (mathematics) 
centripetal acceleration 	 0 	 \displaystyle {\vec {F}}=-{\frac {mv^{2}{\hat {r}}}{r}}	centripetal force 
centripetal acceleration 	 0 	 \displaystyle {Single-\ loss\ expectancy\ (SLE)}={Asset\ value\ (AV)\ }\times {\ Exposure\ factor\ (EF)}	single loss expectancy 
centripetal acceleration 	 0 	 \displaystyle \theta =\pi -2b\int _{r_{\mathrm {min} }}^{\infty }{\frac {dr}{r^{2}{\sqrt {1-(b/r)^{2}-2U/mv_{\infty }^{2}}}}}	Impact parameter 
centripetal acceleration 	 0 	 \displaystyle \Gamma ={\frac {V_{rev}}{V_{fwd}}}	Binet–Cauchy identity 
centripetal acceleration 	 0 	 \displaystyle X=\{X_{1},\ldots ,X_{n}\}isasetofvariables	tangent bundle 
centripetal acceleration 	 0 	 \displaystyle m={\frac {(1+CurrencyDrainRatio)}{(CurrencyDrainRatio+DesiredReserveRatio)}}	money multiplier 
centripetal acceleration 	 0 	 \displaystyle F_{\mathrm {R} }=6\pi \cdot r\cdot \eta \cdot v	Law of Stokes 
centripetal acceleration 	 0 	 \displaystyle P_{T}=\int \limits _{0}^{t}F_{thrust}(t^{\prime })dt^{\prime }=F_{ave}t	Model rocket motor classification 
centripetal acceleration 	 0 	 \displaystyle f_{r}=f_{t}\left({\frac {1+v/{c'}}{1-v/c'}}\right)	Continuous-wave radar 
centripetal acceleration 	 0 	 \displaystyle v_{\text{e}}={\sqrt {\frac {2GM}{r}}}={\sqrt {2gr}}	escape velocity 
centripetal acceleration 	 0 	 \displaystyle r(G)=1+\min _{v\in V}r(G-v)	Cycle rank 
centripetal acceleration 	 0 	 \displaystyle v=r+\gamma Pv	Automatic basis function construction 
centripetal acceleration 	 0 	 \displaystyle {\vec {s}}={\frac {d\,{\vec {\jmath }}}{dt}}={\frac {d^{2}{\vec {a}}}{dt^{2}}}={\frac {d^{3}{\vec {v}}}{dt^{3}}}={\frac {d^{4}{\vec {r}}}{dt^{4}}}	snap 
centripetal acceleration 	 0 	 \displaystyle POF={\frac {\max _{D\in Divisions}{(welfare(D))}}{\max _{D\in FairDivisions}{(welfare(D))}}}	Price of fairness 
centripetal acceleration 	 0 	 \displaystyle \epsilon ={\tfrac {1}{2}}v^{2}-\mu /r=constant={\tfrac {1}{2}}C_{3}	characteristic energy 
centripetal acceleration 	 0 	 \displaystyle {\mathit {Dn}}={\frac {2vr}{\nu }}{\sqrt {\frac {r}{R}}}	Dean number 
centripetal acceleration 	 0 	 \displaystyle T(p)=\Box pforany[[propositionalvariable]]p	Modal companion 
centripetal acceleration 	 0 	 \displaystyle a_{c}={\frac {v^{2}}{r}}	centripetal acceleration 
centripetal acceleration 	 0 	 \displaystyle v=\omega r	tangential velocity 
centripetal force 	 0 	 \displaystyle e_{v}=m_{v}g_{v}r\ln \left({S \over r}\right)	Peek's law 
centripetal force 	 0 	 \displaystyle \theta =\pi -2b\int _{r_{\mathrm {min} }}^{\infty }{\frac {dr}{r^{2}{\sqrt {1-(b/r)^{2}-2U/mv_{\infty }^{2}}}}}	Impact parameter 
centripetal force 	 0 	 \displaystyle {\vec {F}}=-{\frac {mv^{2}{\hat {r}}}{r}}	centripetal force 
centripetal force 	 0 	 \displaystyle m={\frac {(1+CurrencyDrainRatio)}{(CurrencyDrainRatio+DesiredReserveRatio)}}	money multiplier 
damping 	 0 	 \displaystyle P(i,j,k,m)\equiv d(c_{i},c_{j})\leq {\frac {m}{k+1}}	complex normal distribution 
damping 	 0 	 \displaystyle c_{ij}=\sum _{k=1}^{m}a_{ik}b_{kj}	matrix multiplication algorithm 
damping 	 0 	 \displaystyle \Delta f_{\text{FWHM}}={\sqrt {\frac {8kT\ln 2}{mc^{2}}}}f_{0}	Doppler broadening 
damping 	 0 	 \displaystyle \zeta ={\frac {c}{2{\sqrt {mk}}}}	damping 
damping 	 0 	 \displaystyle \sigma _{f}={\sqrt {\frac {kT}{mc^{2}}}}f_{0}	Doppler broadening 
elastic energy 	 0 	 \displaystyle \prod _{n=1}^{\infty }\left(1-x^{n}\right)=\sum _{k=-\infty }^{\infty }\left(-1\right)^{k}x^{k\left(3k-1\right)/2}=1+\sum _{k=1}^{\infty }(-1)^{k}\left(x^{k(3k+1)/2}+x^{k(3k-1)/2}\right)	pentagonal number theorem 
elastic energy 	 0 	 \displaystyle f(x)=\sum _{k=0}^{\infty }{\frac {\phi (k)}{k!}}(-x)^{k}\!	Ramanujan's master theorem 
elastic energy 	 0 	 \displaystyle P(x,y)=\sum a_{ik}x^{i}y^{k}=0	algebraic curve 
elastic energy 	 0 	 \displaystyle \ln x=\log _{e}x=\sum _{k=1}^{\infty }{z^{k} \over k}=z+{z^{2} \over 2}+{z^{3} \over 3}+\cdots 	natural logarithm 
elastic energy 	 0 	 \displaystyle f_{X}(x;n)={\frac {1}{2(n-1)!}}\sum _{k=0}^{n}(-1)^{k}{n \choose k}(x-k)^{n-1}\operatorname {sgn}(x-k)	Irwin–Hall distribution 
elastic energy 	 0 	 \displaystyle \alpha _{T}={\frac {k_{T}}{x_{\mathrm {A} }x_{\mathrm {B} }}}	thermal diffusion factor 
elastic energy 	 0 	 \displaystyle f(x)={\frac {a_{0}}{2}}+\sum _{k=1}^{n}(a_{k}\cos(kx)+b_{k}\sin(kx))	trigonometric polynomial 
elastic energy 	 0 	 \displaystyle \sum _{k=1}^{\infty }\left\vert \left\langle x,e_{k}\right\rangle \right\vert ^{2}\leq \left\Vert x\right\Vert ^{2}	Bessel's inequality 
elastic energy 	 0 	 \displaystyle R_{xx}(k)=\alpha _{k}	Maximum entropy spectral estimation 
elastic energy 	 0 	 \displaystyle f(x;\lambda ,k)={\begin{cases}{\frac {k}{\lambda }}({\frac {x}{\lambda }})^{k-1}e^{-(x/\lambda )^{k}}&amp;x\geq 0,\\0&amp;x&lt;0,\end{cases}}	Weibull distribution 
elastic energy 	 0 	 \displaystyle f(x)=\sum _{k=1}^{n}a_{k}{\mathbf {1} }_{A_{k}}(x)	exponential smoothing 
elastic energy 	 0 	 \displaystyle \omega (x,f)=\bigcap _{n\in \mathbb {N} }{\overline {\{f^{k}(x)k&gt;n\}}}	limit set 
elastic energy 	 0 	 \displaystyle [{\mathcal {T}}_{n}(f)](x)=ne^{-nx}\sum _{k=0}^{\infty }{{\frac {(nx)^{k}}{k!}}\int _{k/n}^{(k+1)/n}f(t)\,dt}	Szász–Mirakjan–Kantorovich operator 
elastic energy 	 0 	 \displaystyle (x+y)^{r}=\sum _{k=0}^{\infty }{r \choose k}x^{k}y^{r-k}	Q864030 
elastic energy 	 0 	 \displaystyle f_{X}(x;n)={\frac {n}{2(n-1)!}}\sum _{k=0}^{n}(-1)^{k}{n \choose k}(nx-k)^{n-1}\operatorname {sgn}(nx-k)	Bates distribution 
elastic energy 	 0 	 \displaystyle \sum _{i,j=1}^{m}g^{ij}\left({\frac {\partial ^{2}\phi ^{\gamma }}{\partial x_{i}\partial x_{j}}}-\sum _{k=1}^{m}{\hat {\Gamma }}_{ij}^{k}{\frac {\partial \phi ^{\gamma }}{\partial x_{k}}}+\sum _{\alpha ,\beta =1}^{n}\Gamma _{\alpha \beta }^{\gamma }\circ \phi {\frac {\partial \phi ^{\alpha }}{\partial x_{i}}}{\frac {\partial \phi ^{\beta }}{\partial x_{j}}}\right)=0	harmonic morphism 
elastic energy 	 0 	 \displaystyle (x_{1}+x_{2}+\cdots +x_{m})^{n}=\sum _{k_{1}+k_{2}+\cdots +k_{m}=n}{n \choose k_{1},k_{2},\ldots ,k_{m}}\prod _{t=1}^{m}x_{t}^{k_{t}}\,,	multinomial theorem 
elastic energy 	 0 	 \displaystyle Q=\{x\in k^{n}\mid x^{T}Ax+2b^{T}x+c=0\}	quadric 
elastic energy 	 0 	 \displaystyle h_{n}(x;q)=\sum _{k=0}^{n}{\frac {(q;q)_{n}}{(q;q)_{k}(q;q)_{n-k}}}x^{k}	Rogers–Szegő polynomials 
elastic energy 	 0 	 \displaystyle u'+x'i+y'j+z'k=(a+bi+cj+dk)(u+xi+yj+zk)(p+qi+rj+sk),	rotation group SO(4) 
elastic energy 	 0 	 \displaystyle I(k)=\int g(x)e^{ikf(x)}\,dx	stationary phase approximation 
elastic energy 	 0 	 \displaystyle X_{k}=\sum _{n=0}^{N-1}x_{n}e^{-{\frac {2\pi i}{N}}nk}	Cooley–Tukey FFT algorithm 
elastic energy 	 0 	 \displaystyle \int _{a}^{b}h(x)\;\mathrm {d} x\approx \sum _{k=1}^{n}w_{k}h(x_{k})	Nyström method 
elastic energy 	 0 	 \displaystyle H(m)\,\equiv \,xr+sk{\pmod {p-1}}	ElGamal signature scheme 
elastic energy 	 0 	 \displaystyle p_{k}(x_{1},\ldots ,x_{n})=\sum \nolimits _{i=1}^{n}x_{i}^{k}=x_{1}^{k}+\cdots +x_{n}^{k}	Newton's identities 
elastic energy 	 0 	 \displaystyle {\frac {\partial u}{\partial t}}-{\frac {\partial ^{2}u}{\partial x^{2}}}={\frac {\alpha }{k}}u(1-u^{q})	Fisher-Kolmogorov equation 
elastic energy 	 0 	 \displaystyle S(x)=\sum _{k=0}^{n}a_{k}\phi _{k}(x)	Clenshaw algorithm 
elastic energy 	 0 	 \displaystyle M_{n}(x,\beta ,\gamma )=\sum _{k=0}^{n}(-1)^{k}{n \choose k}{x \choose k}k!(x+\beta )_{n-k}\gamma ^{-k}	Meixner polynomials 
elastic energy 	 0 	 \displaystyle U={\frac {1}{2}}k\Delta x^{2}	elastic energy 
elastic energy 	 0 	 \displaystyle x_{k}(\zeta )=\Re \left\{\int _{0}^{\zeta }\varphi _{k}(z)\,dz\right\}+c_{k},\qquad k=1,2,3	Associate family 
elastic energy 	 0 	 \displaystyle X_{\mu }^{k}(\sigma ,\theta )=x_{\mu }^{k}+O(\sigma ,\theta )	Supermembranes 
elastic energy 	 0 	 \displaystyle p_{n}(x+y)=\sum _{k=0}^{n}{n \choose k}\,p_{k}(x)\,p_{n-k}(y)	Binomial type 
elastic energy 	 0 	 \displaystyle F(k)=|F(k)|e^{i\psi (k)}=\int _{-\infty }^{\infty }f(x)\ e^{-2\pi ik\cdot x}\,dx	Phase retrieval 
elastic energy 	 0 	 \displaystyle x(u)=a\operatorname {sn} (u,k)+(a/k){\big (}(1-k^{2})u-E(u,k){\big )}	Nodary 
elastic energy 	 0 	 \displaystyle ds^{2}=dt^{2}-a^{2}(t)d\chi ^{2}=dt^{2}-a^{2}(t)\left(dx^{2}+k{\frac {(xdx)^{2}}{1-kx^{2}}}\right)	Friedmann–Lemaître–Robertson–Walker metric 
elastic energy 	 0 	 \displaystyle V={\dfrac {1}{2}}kx^{2}	transition of state 
elastic energy 	 0 	 \displaystyle M(x_{1},\ldots ,x_{n})=\varphi ^{-1}\left({\frac {1}{n}}\sum _{k=1}^{n}\varphi (x_{k})\right)=\varphi ^{-1}\left({\frac {\varphi (x_{1})+\ldots +\varphi (x_{n})}{n}}\right)	quasi-arithmetic mean 
elastic energy 	 0 	 \displaystyle \varphi =g\mathrm {d} x^{I}=g\mathrm {d} x^{i_{1}}\wedge \mathrm {d} x^{i_{2}}\wedge \cdots \wedge \mathrm {d} x^{i_{k}}	exterior derivative 
elastic energy 	 0 	 \displaystyle \sum \limits _{a\leqslant k&lt;b}f(k)=\int \limits _{a}^{b}f(x)dx+\left.\sum \limits _{k=1}^{m}{\frac {B_{k}}{k!}}f^{(k-1)}(x)\right|_{a}^{b}+R_{m},R_{m}=(-1)^{m+1}\int \limits _{a}^{b}{\frac {B_{m}(\{x\})}{m!}}f^{(m)}(x)dx	Euler–Maclaurin formula 
elastic energy 	 0 	 \displaystyle \prod _{k=1}^{n}(x_{k}+y_{k})^{1/n}\geq \prod _{k=1}^{n}x_{k}^{1/n}+\prod _{k=1}^{n}y_{k}^{1/n}	Mahler's inequality 
elastic energy 	 0 	 \displaystyle B_{m}(x)=\sum _{n=0}^{m}{\frac {1}{n+1}}\sum _{k=0}^{n}(-1)^{k}{n \choose k}(x+k)^{m}	Bernoulli polynomials 
elastic energy 	 0 	 \displaystyle x(t)=f(t)+\sum _{i=m}^{n}k(t,s,x(s))	Summation equation 
elastic energy 	 0 	 \displaystyle \sum _{k=0}^{n}{\frac {x}{x+kz}}{x+kz \choose k}{\frac {y}{y+(n-k)z}}{y+(n-k)z \choose n-k}={\frac {x+y}{x+y+nz}}{x+y+nz \choose n}	Rothe–Hagen identity 
elastic energy 	 0 	 \displaystyle e_{k}(x_{1},\dotsc ,x_{n})=\sum _{1\leq i_{1}&lt;i_{2}&lt;\dotsb &lt;i_{k}\leq n}x_{i_{1}}x_{i_{2}}\dotsm x_{i_{k}}	elementary symmetric polynomial 
elastic energy 	 0 	 \displaystyle \{kxk\in K\}	projective plane 
elastic energy 	 0 	 \displaystyle \mathbf {grad} \,x_{\mathrm {B} }=-{\frac {k_{T}}{T}}\mathbf {grad} \,T	thermal diffusion ratio 
elastic energy 	 0 	 \displaystyle f(x_{k}+s_{k})=f(x_{k})+\nabla f(x_{k})^{T}s_{k}+{\frac {1}{2}}s_{k}^{T}{B}s_{k}	Low-energy electron microscopy 
elastic energy 	 0 	 \displaystyle \operatorname {aff} (S)=\left\{\sum _{i=1}^{k}\alpha _{i}x_{i}\,{\Bigg |}\,k&gt;0,\,x_{i}\in S,\,\alpha _{i}\in \mathbb {R} ,\,\sum _{i=1}^{k}\alpha _{i}=1\right\}	affine hull 
elastic energy 	 0 	 \displaystyle {\begin{cases}x(t)=k(\cos {t}+t\,\sin {t})\\y(t)=k(\sin {t}-t\,\cos {t})\end{cases}}	Involute of a circle 
elastic energy 	 0 	 \displaystyle ax+by=1\implies axc+byc=c\implies axc+aky=c\implies a(cx+ky)=c	proof of Euclid's lemma using Bezout's identity 
elastic energy 	 0 	 \displaystyle (x+y)^{n}=\sum _{k=0}^{n}{n \choose k}x^{n-k}y^{k}	Pascal's triangle 
elastic energy 	 0 	 \displaystyle \displaystyle \ell _{n}(x,\lambda )=e^{-n\lambda }\sum _{k}(1-e^{\lambda })^{k}{\binom {n}{k}}{\binom {x}{k}}=e^{-n\lambda }{}_{2}F_{1}(-n,-x;1;1-e^{\lambda })	Gottlieb polynomials 
elastic energy 	 0 	 \displaystyle {\frac {x}{m}}=kP^{\frac {1}{n}}	adsorption 
elastic energy 	 0 	 \displaystyle \sum _{k=0}^{n-1}\left\lfloor x+{\frac {k}{n}}\right\rfloor =\lfloor nx\rfloor 	Hermite's identity 
elastic energy 	 0 	 \displaystyle \int _{\Omega }\int _{\Omega }|k(x,y)|^{2}\,dx\,dy&lt;\infty 	Hilbert–Schmidt integral operator 
elastic energy 	 0 	 \displaystyle {\frac {dL}{dx}}=L_{0}{\frac {\frac {dE}{dx}}{1+kB{\frac {dE}{dx}}}}	Birks' Law 
elastic energy 	 0 	 \displaystyle x_{k+1}=x_{k}-{\frac {2f(x_{k})}{w\pm {\sqrt {\left(f[x_{k},x_{k-1}]+f[x_{k},x_{k-2}]-f[x_{k-1},x_{k-2}]\right)^{2}-4f(x_{k})f[x_{k},x_{k-1},x_{k-2}]}}}}.	Muller's method 
elastic energy 	 0 	 \displaystyle x_{k+1}=x_{k}-{\frac {f^{'}\left(x_{k}\right)}{f''\left(x_{k}\right)}}	Newton's method in optimization 
elastic energy 	 0 	 \displaystyle P(x)=\sum _{k=0}^{n}a_{k}x^{k}	polynomial 
elastic energy 	 0 	 \displaystyle [{\mathcal {F}}_{n}(f)](x)={\frac {1}{\sqrt {n\pi }}}\sum _{k=-\infty }^{\infty }{\exp {\left({-n{\left({{\frac {k}{n}}-x}\right)}^{2}}\right)}f\left({\frac {k}{n}}\right)}	Favard operator 
elastic energy 	 0 	 \displaystyle f(x)={\frac {L}{1+\mathrm {e} ^{-k(x-x_{0})}}}	logistic function 
elastic energy 	 0 	 \displaystyle [{\mathcal {L}}_{n}(f)](x)=\sum _{k=0}^{\infty }{(-1)^{k}{\frac {x^{k}}{k!}}\phi _{n}^{(k)}(x)f\left({\frac {k}{n}}\right)}	Baskakov operator 
elastic energy 	 0 	 \displaystyle f=f(x)=\sum _{k=0}^{\infty }a_{k}x^{k}=a_{0}+a_{1}x^{1}+a_{2}x^{2}+a_{3}x^{3}+\cdots 	Chomsky–Schützenberger enumeration theorem 
elastic energy 	 0 	 \displaystyle \rho _{e}=e{(c^{+}-c^{-})}=c_{0}e\cdot \left[e^{\frac {-e\psi (x,y,z)}{k_{B}T}}-e^{\frac {e\psi (x,y,z)}{k_{B}T}}\right]	Poisson–Boltzmann equation 
elastic energy 	 0 	 \displaystyle \psi (x,t)=A\cos(kx-\omega t+\varphi )	Spherical pendulum 
elastic energy 	 0 	 \displaystyle (1+x)^{\alpha }=\sum _{k=0}^{\infty }\;{\alpha  \choose k}\;x^{k}=1+\alpha x+{\frac {\alpha (\alpha -1)}{2!}}x^{2}+\cdots 	binomial series 
elastic energy 	 0 	 \displaystyle \left[{\mathcal {S}}_{n}(f)\right](x)&lt;/math&gt;=&lt;math&gt;e^{-nx}\sum _{k=0}^{\infty }{{\frac {(nx)^{k}}{k!}}f\left({\frac {k}{n}}\right)}	Szász–Mirakyan operator 
elastic energy 	 0 	 \displaystyle k\langle x,y\rangle /(yx-qxy)	noncommutative projective geometry 
elastic energy 	 0 	 \displaystyle {\mathcal {K}}_{k}(x;n,q)={\mathcal {K}}_{k}(x)=\sum _{j=0}^{k}(-1)^{j}(q-1)^{k-j}{\binom {x}{j}}{\binom {n-x}{k-j}},\quad k=0,1,\ldots ,n	Kravchuk polynomials 
elastic energy 	 0 	 \displaystyle \operatorname {E} [X]=x_{1}p_{1}+x_{2}p_{2}+\cdots +x_{k}p_{k}\;	expected value 
