GoldID,Query,Benchmark,Matches,"(Score, Rank)",Issue,exact match: 2 points
315,nominal number,i,-,-,,
315,mass,m,"m, m, M, m, m","(2,1), (2,2), (1,3), (2,7), (2,8)",,
315,position vector,r,"X, r, X","(1,1), (2,2), (1,3)",,
315,center of mass,R,-,-,,
316,a,centripetal acceleration,-,-,,
316,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity ","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10)",,
316,r,radius of curvature,"radius, radii, characteristic length, distance, stokes radius","(1,2), (1,5), (1,6), (1,7), (1,14)",,
316,centripetal acceleration,a,-,-,,
316,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
316,radius of curvature,r,-,-,,
317,F,force,force,"(2,7)",,
317,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
317,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
317,r,unit vector,-,-,,
317,r,radius,"radius, radii, characteristic length, distance","(2,2), (1,5), (1,6), (1,7)",,
317,force,F,"F, F","(2,1), (2,2)",,
317,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
317,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
317,unit vector,r,"n, n, e","(1,1), (1,3), (1,5)",,
317,radius,r,"R, r","(1,1), (2,2)",,
318,C,circumference,"plane curve, curved path, length","(1,4), (1,13), (1,15)",,
318,\pi,pi,"radians, period","(1,3), (1,4)",,
318,d,diameter,diameter,"(2,3)",,
318,r,radius,"radius, radii, characteristic length, distance","(2,2), (1,5), (1,6), (1,7)",,
318,circumference,C,-,-,,
318,pi,\pi,-,-,,
318,diameter,d,"d, D","(2,1), (1,2)",,
318,radius,r,"R, r","(1,1), (2,2)",,
319,E,energy,"kinetic energy, energy, total energy","(1,1), (2,12), (1,15)","neglect ""sound energy density""",
319,energy,E,E,"(2,2)",,
320,p,momentum,"hamilton, momentum ","(1,10), (2,13)",,
320,momentum,p,"p, p","(2,1), (2,2)",,
321,\zeta,damping,-,-,,
321,c,constant,constant,"(2,17)","neglect ""planck constant""",
321,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
321,k,spring constant,rational number,"(1,17)","neglect ""spring""",
321,damping,\zeta,-,-,,
321,constant,c,-,-,,
321,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
321,spring constant,k,-,-,,
322,i,imaginary unit,-,-,,
322,\hbar,reduced Planck constant,-,-,,
322,\partial,partial derivative symbol,-,,,
322,\Psi,wave function,wavefunction,"(2,1)",,
322,t,duration,"coordinate time, time","(1,1), (1,8)",,
322,c,speed of light,speed of light,"(2,14)",,
322,p,momentum,"hamilton, momentum ","(1,10), (2,13)",,
322,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
322,imaginary unit,i,-,-,,
322,reduced Planck constant,\hbar,-,-,,
322,partial derivative symbol,\partial,-,-,,
322,wave function,\Psi,-,-,,
322,duration,t,-,-,,
322,speed of light,c,"v, c","(1,1), (2,2)",,
322,momentum,p,"p, p","(2,2), (2,3)",,
322,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
323,i,imaginary unit,-,-,,
323,\gamma,Lorentz factor,lorentz factor,"(2,8)","neglect ""incomplete gamma function""",
323,e,tetrad formalism,,,not sure,
323,D,differential operator,gauge covariant derivative,"(1,8)",,
323,\Psi,wave function,wavefunction,"(2,8)",,
323,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
323,imaginary unit,i,-,-,,
323,Lorentz factor,\gamma,-,-,,
323,tetrad formalism,e,-,-,,
323,differential operator,D,-,-,,
323,wave function,\Psi,-,-,,
323,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
324,U,elastic energy,"electric potential energy, kinetic energy, internal energy","(1,3), (1,4), (1,5)",,
324,k,spring constant,rational number,"(1,17)",,
324,x,linear strain,-,-,,
324,elastic energy,U,-,-,,
324,spring constant,k,-,-,,
324,linear strain,x,-,-,,
325,F,Lorentz force,force,"(1,7)","neglect ""absolute pressure""",
325,q,electric charge,"electric charge, test charge","(2,1), (1,4)",,
325,E,electric field,electric field,"(2,13)","neglect ""field""",
325,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
325,B,magnetic field,"magnetic flux, magnetic field","(1,2), (2,12)",,
325,Lorentz force,F,-,-,,
325,electric charge,q,"q, Q, Q","(2,1), (1,2), (1,3)",,
325,electric field,E,E,"(2,2)",,
325,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
325,magnetic field,B,"H, B, B","(1,1), (2,2), (2,5)",,
326,F,force,force,"(1,7)",,
326,q,electric charge,"electric charge, test charge","(2,1), (1,4)",,
326,pi,pi,-,-,,
326,\epsilon,vacuum permittivity,dielectric constant,"(1,2)",,
326,r,distance,"radius, radii, characteristic length, distance","(1,2), (1,5), (1,6), (2,7)",,
326,r,unit vector,-,-,,
326,force,F,"F, F","(2,1), (2,2)",,
326,electric charge,q,"q, Q, Q","(2,1), (1,2), (1,3)",,
326,pi,pi,-,-,,
326,vacuum permittivity,\epsilon,"\epsilon, \varepsilon","(2,1), (1,2)",,
326,distance,r,r,"(2,6)",,
326,unit vector,r,-,-,,
327,E,energy,"kinetic energy, energy, total energy","(1,1), (2,12), (1,15)",,
327,p,momentum,"hamilton, momentum ","(1,10), (2,13)",,
327,c,speed of light,speed of light,"(2,14)",,
327,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
327,energy,E,E,"(2,2)",,
327,momentum,p,"p, p","(2,2), (2,3)",,
327,speed of light,c,"v, c","(1,1), (2,2)",,
327,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
328,v,escape velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
328,e,gravitational constant,-,-,error,
328,G,gravitational mass,,,error,
328,M,distance,,,error,
328,r,gravitational acceleration,,,error,
328,g,v,,,error,
328,escape velocity,e,,,error,
328,gravitational constant,G,G,"(2,1)",,
328,gravitational mass,M,-,-,,
328,distance,r,r,"(2,6)",,
328,gravitational acceleration,g,g,"(2,1)",,
329,t,duration,"coordinate time, time","(1,1), (1,8)",,
329,\partial,partial derivative symbol,-,-,,
329,L,Lagrangian,-,-,,
329,q,generalized velocity,-,-,,
329,q,generalized coordinate,-,-,,
329,duration,t,-,-,,
329,partial derivative symbol,\partial,-,-,,
329,Lagrangian,L,-,-,,
329,generalized velocity,q,-,-,,
329,generalized coordinate,q,-,-,,
330,F,force,force,"(2,7)",,
330,p,momentum,"hamilton, momentum ","(1,10), (2,13)",,
330,t,duration,"coordinate time, time","(1,1), (1,8)",,
330,force,F,"F, F","(2,1), (2,2)",,
330,momentum,p,"p, p","(2,2), (2,3)",,
330,duration,t,-,-,,
331,p,momentum,"p, p","(2,2), (2,3)",,
331,E,energy,"kinetic energy, energy, total energy","(1,1), (2,12), (1,15)",,
331,c,speed of light,speed of light,"(2,14)",,
331,momentum,p,"p, p","(2,2), (2,3)",,
331,energy,E,E,"(2,2)",,
331,speed of light,c,"v, c","(1,1), (2,2)",,
332,U,velocity,-,-,,
332,R,location,-,-,,
332,\tau,proper time,proper time,"(2,4)",,
332,velocity,U,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
332,location,R,-,-,,
332,proper time,\tau,\tau,"(2,1)",,
333,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
333,g,gravitational acceleration,local acceleration,"(1,4)",,
333,t,duration,"coordinate time, time","(1,1), (1,8)",,
333,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
333,gravitational acceleration,g,g,"(2,1)",,
333,duration,t,-,-,,
334,f,frequency,frequency,"(2,25)",,
334,T,period,"hours, time","(1,18), (1,20)",,
334,frequency,f,"\omega, f","(1,1), (2,2)",,
334,period,T,\pi,"(1,1)",,
335,F,friction,force,"(1,7)",,
335,\mu,coefficient of friction,-,-,,
335,F,normal force,-,-,,
335,friction,F,-,-,,
335,coefficient of friction,\mu,-,-,,
335,normal force,F,-,-,,
336,t,duration,"coordinate time, time","(1,1), (1,8)",,
336,x,location,position,"(1,19)",,
336,s,delay,time,"(1,5)",,
336,R,rotation matrix,,,"not sure about ""flip operator""",
336,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
336,y,displacement,direction vector,"(1,6)",,
336,duration,t,-,-,,
336,location,x,-,-,,
336,delay,s,-,-,,
336,rotation matrix,R,Q,"(1,1)",,
336,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
336,displacement,y,s,"(1,1)",,
337,p,generalized momentum,-,-,,
337,\partial,partial derivative symbol,-,-,,
337,L,Lagrange function,-,-,,
337,q,generalized velocity,-,-,,
337,generalized momentum,p,-,-,,
337,partial derivative symbol,\partial,-,-,,
337,Lagrange function,L,-,-,,
337,generalized velocity,q,-,-,,
338,g,gravitational acceleration,local acceleration,"(1,4)",,
338,G,gravitational constant,gravitational constant,"(2,14)","neglect ""physics""",
338,M,mass,"mass, molar mass","(2,8), (1,16)",,
338,R,radius,"radius, gyroradius","(2,7), (1,17)",,
338,r,position vector,distance,"(1,7)",,
338,gravitational acceleration,g,g,"(1,1)",,
338,gravitational constant,G,G,"(2,1)",,
338,mass,M,"m, m, M, m, m","(1,1), (1,2), (2,3), (1,7), (1,8)",,
338,radius,R,"R, r","(2,1), (1,3)",,
338,position vector,r,r,"(2,2)",,
339,F,force,force,"(2,7)",,
339,G,gravitational constant,gravitational constant,"(2,14)",,
339,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
339,r,distance,"radius, radii, characteristic length, distance","(2,2), (1,5), (1,6), (2,7)",,
339,force,F,"F, F","(2,1), (2,2)",,
339,gravitational constant,G,G,"(2,1)",,
339,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
339,distance,r,r,"(2,6)",,
340,U,potential,electric potential energy,"(1,3)",since unit is joule,
340,G,gravitational constant,gravitational constant,"(2,14)",,
340,M,mass,"mass, molar mass","(2,8), (1,16)",,
340,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
340,r,distance,"radius, radii, characteristic length, distance","(2,2), (1,5), (1,6), (2,7)",,
340,potential,U,-,-,,
340,gravitational constant,G,G,"(2,1)",,
340,mass,M,"m, m, M, m, m","(1,1), (1,2), (2,3), (1,7), (1,8)",,
340,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
340,distance,r,r,"(2,6)",,
341,H,Hamiltonian operator,-,-,,
341,q,generalized coordinate,-,-,,
341,p,generalized momentum,"hamilton, momentum ","(1,10), (1,13)",,
341,t,duration,"coordinate time, time","(1,1), (1,8)",,
341,L,Lagrange function,operator,"(1,23)",,
341,q,generalized velocity,-,-,,
341,Hamiltonian operator,H,-,-,,
341,generalized coordinate,q,-,-,,
341,generalized momentum,p,-,-,,
341,duration,t,-,-,,
341,Lagrange function,L,-,-,,
341,generalized velocity,q,-,-,,
342,\partial,partial derivative symbol,-,-,,
342,S,action,"action, distance","(2,10), (1,12)","neglect ""state""",
342,t,duration,"coordinate time, time","(1,1), (1,8)",,
342,H,Hamiltonian function,-,-,,
342,partial derivative symbol,\partial,-,-,,
342,action,S,"S, s","(2,1), (1,3)",,
342,duration,t,-,-,,
342,Hamiltonian function,H,-,-,,
343,F,force,force,"(2,7)",,
343,k,spring constant,spring,"(1,11)",,
343,X,linear strain,-,-,"What is ""mmj2ubwoeev70gxo14dyaw""? ",
343,force,F,"F, F","(2,1), (2,2)",,
343,spring constant,k,-,-,,
343,linear strain,X,-,-,,
344,\zeta,jerk,-,-,,
344,\alpha,acceleration,-,-,,
344,t,duration,"coordinate time, time","(1,1), (1,8)",,
344,jerk,\zeta,-,-,,
344,acceleration,\alpha,a,"(2,1)",,
344,duration,t,-,-,,
345,T,kinetic energy,"kinetic energy, time","(2,4), (1,20)","neglect ""hours""",
345,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
345,v,speed,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(2,3), (1,4), (1,7), (1,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
345,kinetic energy,T,"E, T","(1,1), (2,2)",,
345,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
345,speed,v,v,"(2,1)",,
346,L,Lagrangian operator,operator,"(1,23)",,
346,T,kinetic energy,"kinetic energy, time","(2,4), (1,20)",,
346,V,potential energy,potential energy,"(2,3) ",,
346,Lagrangian operator,L,-,-,,
346,kinetic energy,T,"E, T","(1,1), (2,2)",,
346,potential energy,V,"V, U","(2,1), (1,2)",,
347,\gamma,Lorentz factor,lorentz factor,"(2,8)",,
347,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
347,c,speed of light,speed of light,"(2,14)",,
347,Lorentz factor,\gamma,-,-,,
347,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
347,speed of light,c,"v, c","(1,1), (2,2)",,
348,F,Lorentz force,force,"(1,7)",,
348,q,electric charge,"electric charge, test charge","(2,1), (1,4)",,
348,E,electric field,electric field,"(2,13)",,
348,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
348,B,magnetic field,"magnetic flux, magnetic field","(1,2), (2,12)",,
348,Lorentz force,F,-,-,,
348,electric charge,q,"q, Q, Q","(2,1), (1,2), (1,3)",,
348,electric field,E,"E, E","(2,3), (2,4)",,
348,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
348,magnetic field,B,"H, B, B","(1,1), (2,2), (2,5)",,
349,t',time,"coordinate time, time","(1,1), (1,8)",,
349,\gamma,Lorentz factor,lorentz factor,"(2,8)",,
349,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
349,x,location,position,"(1,19)",,
349,c,speed of light,speed of light,"(2,14)",,
349,time,t',"t, t, t, T","(2,3), (2,6), (2,7), (1,8)",,
349,Lorentz factor,\gamma,-,-,,
349,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
349,location,x,-,-,,
349,speed of light,c,"v, c","(1,1), (2,2)",,
350,E,energy,"kinetic energy, energy, total energy","(1,1), (2,12), (1,15)",,
350,m,mass,"effective mass, atomic mass, rest mass, mass","(1,4), (1,7), (1,9), (2,21)",,
350,c,speed of light,speed of light,"(2,14)",,
350,energy,E,E,"(2,2)",,
350,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
350,speed of light,c,"v, c","(1,1), (2,2)",,
351,Z,mechanical impedance,electrical impedance,"(1,1)",,
351,Z,acoustic impedance,-,-,,
351,A,area,"vector area, area","(1,29), (2,33)",,
351,mechanical impedance,Z,-,-,,
351,acoustic impedance,Z,-,-,,
351,area,A,A,"(2,2)",,
352,J,moment of inertia,-,-,,
352,r,radial distance,"radius, radii, characteristic length, distance, stokes radius","(1,2), (1,5), (1,6), (1,7), (1,14)",,
352,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
352,moment of inertia,J,-,-,,
352,radial distance,r,-,-,,
352,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
353,p,momentum,"hamilton, momentum ","(1,10), (2,13)",,
353,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
353,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
353,momentum,p,"p, p","(2,2), (2,3)",,
353,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
353,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
354,F,force,force,"(2,7)",,
354,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
354,a,acceleration,-,-,,
354,force,F,"F, F","(2,1), (2,2)",,
354,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
354,acceleration,a,a,"(2,1)",,
355,F,force,force,"(2,7)",,
355,force,F,"F, F","(2,1), (2,2)",,
356,z,linear strain,-,-,,
356,A,amplitude,-,-,,
356,\zeta,damping ratio,-,-,,
356,\omega,angular velocity,"angular velocity, frequency","(2,1), (1,2)",,
356,t,duration,"coordinate time, time","(1,1), (1,8)",,
356,\varphi,phase,-,-,,
356,linear strain,z,-,-,,
356,amplitude,A,-,-,,
356,damping ratio,\zeta,-,-,,
356,angular velocity,\omega,\omega,"(2,1)",,
356,duration,t,-,-,,
356,phase,\varphi,-,-,,
357,\theta,angular displacement,"angle, polar angle","(1,1), (1,4)",,
357,t,duration,"coordinate time, time","(1,1), (1,8)",,
357,g,gravitational acceleration,local acceleration,"(1,4)",,
357,l,length,-,-,,
357,angular displacement,\theta,-,-,,
357,duration,t,-,-,,
357,gravitational acceleration,g,g,"(2,1)",,
357,length,l,L,"(1,5)","neglect ""\ell""",
358,P,power,power level,"(1,5)",,
358,E,energy,"kinetic energy, energy, total energy","(1,1), (2,12), (1,15)",,
358,t,duration,"coordinate time, time","(1,1), (1,8)",,
358,power,P,-,-,,
358,energy,E,E,"(2,2)",,
358,duration,t,-,-,,
359,\omega,radial velocity,angular velocity,"(1,1)",,
359,\phi,angle,angle,"(2,5)",,
359,t,duration,"coordinate time, time","(1,1), (1,8)",,
359,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
359,r,radius,"radius, radii, characteristic length, distance, stokes radius","(2,2), (1,5), (1,6), (1,7), (1,14)",,
359,radial velocity,\omega,V,"(1,1)",,
359,angle,\phi,"\theta, \theta, \theta, \Theta, \phi","(1,1), (1,2), (1,3), (1,5), (2,6)",,
359,duration,t,-,-,,
359,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
359,radius,r,"R, r","(1,1), (2,3)",,
360,E,rest energy,"kinetic energy, energy, total energy","(1,1), (1,12), (1,15)",,
360,m,rest mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (1,21)",,
360,c,speed of light,speed of light,"(2,14)",,
360,rest energy,E,-,-,,
360,rest mass,m,m,"(2,1)",,
360,speed of light,c,"v, c","(1,1), (2,2)",,
361,m,mass,"effective mass, atomic mass, rest mass, mass ","(1,4), (1,7), (1,9), (2,21)",,
361,c,speed of light,speed of light,"(2,14)",,
361,E,energy,"kinetic energy, energy, total energy","(1,1), (2,12), (1,15)",,
361,p,momentum,"hamilton, momentum ","(1,10), (2,13)",,
361,mass,m,"m, m, M, m, m","(1,1), (1,2), (1,3), (1,7), (2,8)",,
361,speed of light,c,"v, c","(1,1), (2,2)",,
361,energy,E,E,"(2,2)",,
361,momentum,p,"p, p","(2,2), (2,3)",,
362,R,Rossby number,-,-,,
362,v,speed,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(2,3), (1,4), (1,7), (1,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
362,l,characteristic length,-,-,,
362,E,Earth's angular frequency,-,-,,
362,\sin,sine,-,-,,
362,\varphi,latitude,latitude,"(2,1)",,
362,Rossby number,R,-,-,,
362,speed,v,v,"(2,1)",,
362,characteristic length,l,r,"(1,1)",not sure,
362,Earth's angular frequency,E,-,-,,
362,sine,\sin,-,-,,
362,latitude,\varphi,\varphi,"(2,1)",,
363,v,speed,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity, drift velocity, reaction velocity, velocity component","(2,3), (1,4), (1,7), (1,8), (1,9), (1,10), (1,11), (1,13), (1,15)",,
363,s,distance,displacement,"(1,4)",,
363,t,duration,"coordinate time, time","(1,1), (1,8)",,
363,speed,v,v,"(2,1)",,
363,distance,s,S,"(1,1)",,
363,duration,t,-,-,,
364,c,speed of light,speed of light,"(2,14)",,
364,f,frequency,frequency,"(2,25)","neglect ""harmonic function""",
364,\lambda,wavelength,wavelength,"(2,5)",,
364,speed of light,c,"v, c","(1,1), (2,2)",,
364,frequency,f,"\omega, f","(1,1), (2,2)",,
364,wavelength,\lambda,"\lambda, \lambda","(2,1), (2,2)",,
365,x,coordinate,"coordinate system, cartesian coordinates","(1,24), (1,30)",,
365,y,coordinate,cartesian coordinates,"(1,13)",,
365,z,coordinate,-,-,"neglect ""component""",
365,r,radius,"radius, radii, characteristic length, distance, stokes radius","(2,2), (1,5), (1,6), (1,7), (1,14)",,
365,coordinate,x,-,-,,
365,coordinate,y,-,-,,
365,coordinate,z,-,-,,
365,radius,r,"R, r","(1,1), (2,3)",,
366,\psi,linear strain,-,-,,
366,A,amplitude,-,-,,
366,k,wavenumber,wavenumber,"(2,8)",,
366,x,location,"coordinate system, cartesian coordinates","(1,24), (1,30)",,
366,\omega,angular velocity,"angular velocity, frequency","(2,1), (1,2)",,
366,t,duration,"coordinate time, time","(1,1), (1,8)",,
366,\varphi,phase,-,-,,
366,linear strain,\psi,-,-,,
366,amplitude,A,-,-,,
366,wavenumber,k,k,"(2,1)",,
366,location,x,-,-,,
366,angular velocity,\omega,\omega,"(2,1)",,
366,duration,t,-,-,,
366,phase,\varphi,-,-,,
367,F,fictitious force,force,"(1,7)",,
367,\pi,pi,"radians, period","(1,3), (1,4)",,
367,\mu,dynamic viscosity,-,-,,
367,R,radius,radius,"(2,7)",,
367,V,flow velocity,maximum reaction velocity,"(1,9)",,
367,fictitious force,F,-,-,,
367,pi,\pi,-,-,,
367,dynamic viscosity,\mu,-,-,expected \eta as per wikidata,
367,radius,R,"R, r","(2,1), (1,3)",,
367,flow velocity,V,-,-,,
368,\sigma,stress,-,-,,
368,F,force,force,"(2,7)",,
368,A,area,"vector area, area","(1,29), (2,33)",,
368,stress,\sigma,\sigma,"(2,1)",,
368,force,F,"F, F","(2,1), (2,2)",,
368,area,A,A,"(2,2)",,
369,\alpha,angular acceleration,-,-,,
369,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity ","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10)",,
369,t,duration,"coordinate time, time","(1,1), (1,8)",,
369,angular acceleration,\alpha,-,-,,
369,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
369,duration,t,-,-,,
370,v,velocity,"speed, relative velocity, speed of light, velocity, effective exhaust velocity, particle velocity ","(1,3), (1,4), (1,7), (2,8), (1,9), (1,10)",,
370,\omega,angular velocity,"angular velocity, frequency","(2,1), (1,2)",,
370,r,radius,"radius, radii, characteristic length, distance, stokes radius","(1,2), (1,5), (1,6), (1,7), (1,14)",,
370,velocity,v,"V, u, v, v, u, V, u","(1,1), (1,2), (2,3), (1,4), (1,5), (1,6), (1,7)",,
370,angular velocity,\omega,\omega,"(2,1)",,
370,radius,r,"R, r","(1,1), (2,3)",,
371,T,torque,"output torque, rotation","(1,6), (1,7)",,
371,M,moment of force,mass,"(1,8)",,
371,e,unit vector,-,-,,
371,torque,T,-,-,,
371,moment of force,M,-,-,,
371,unit vector,e,"n, n, e","(1,1), (1,3), (2,5)",,
372,s,displacement,displacement,"(2,4)",,
