GoldID, QID,Name,contributed,Defining formula seeded,# FC vars,Has part or calculated from?,,,,
331,Q1068463,four-momentum,p,p^\mu=\begin{matrix}p_0 \\ p_1 \\ p_2 \\ p_3 \end{matrix} = \begin{matrix}E/c \\ p_x \\ p_y \\ p_z \end{matrix} = \begin{matrix}E/c \\ \vec p \end{matrix},1,hp,,,,
332,Q1322540,four-velocity,f/p,\mathbf{U} \equiv \frac{d \mathbf{R}}{d \tau},1,hp,,,,
333,Q140028,free fall,p,v(t)=-gt+v_{0},1,hp,,,,
334,Q11652,frequency,-,f = \frac{1}{T},3,cf,,,,
335,Q82580,friction,f/p,F_{\mathrm{kf}} = \mu_{\mathrm{kf}} F_\mathrm{N},1,hp,,,,
336,Q219207,Galilean transformation,p,(t,\mathbf x) \mapsto (t+s,\mathsf R\mathbf x + \mathbf vt + \mathbf y),3,hp,,
337,Q6806305,generalized momentum,-,p_i = \frac{\partial L}{\partial \dot{q}_i},1,cf,,,,
338,Q30006,gravitational acceleration,f/p,\vec{g}=-\frac{Gm_\oplus}{{R_\oplus}^2} \hat{r},2,hp,,,,
339,Q11412,gravitational force,f/p,\vec{F}_g = - \frac{G m_1 m_2}{r^2} \hat{r},2,hp,,,,
340,Q1544012,gravitational potential,f/p, U=-\frac{GMm}{r},4,hp,,,,
341,Q660488,Hamiltonian operator,f,\mathcal{H}\left(\mathbf{q},\mathbf{p},t\right) = \mathbf{p}\cdot\dot{\mathbf{q}} - \mathcal{L}\left(\mathbf{q},\dot{\mathbf{q}},t\right),2,hp
342,Q1060137,Hamilton-Jacobi equation,-,\frac{\partial S}{\partial t}=-H,1,cf,,,,
343,Q170282,Hooke's law,p,F= k X,3,hp,,,,
344,Q497332,jerk,f/p,\vec \zeta(t) = \frac {\mathrm {d}}{\mathrm {d}t}\vec{\alpha}(t)=\dot{\vec\alpha}(t),1,hp,,,,
345,Q46276,kinetic energy,-,T = \frac{1}{2} m v^2,4,cf,,,,
346,Q103687426,Lagrangian operator,i/f/p,\mathcal{L}  = T-V,2,hp,,,,
347,Q599404,Lorentz factor,f/p,\gamma = \frac{1}{\sqrt{1 - v^2/c^2}},5,hp,,,,
348,Q172137,Lorentz force,p,\mathbf{F} = q(\mathbf{E} + \mathbf{v} \times \mathbf{B}),1,hp,,,,
349,Q217255,Lorentz transformation,f/p,t' = \gamma \left( t - \frac{v x}{c^2} \right)  x' = \gamma \left( x - v t \right),2,hp,,,,
350,Q35875,mass�energy equivalence,-,E = m c^2,5,hp,,,,
351,Q6421317,mechanical impedance,-,Z_{\mathrm{m}} = Z_{\mathrm{a}} A^2,1,cf,,,,
352,Q165618,moment of inertia,-,J_{\mathrm{Q}} = \int r_{\mathrm{Q}}^{2} \mathrm{d} m,3,cf,,,,
353,Q41273,momentum,-,\mathbf{p} = m \mathbf{v},8,cf,,,,
354,Q2397319,Newton's second law of motion,-,\vec{F} = m \cdot \vec{a},11,hp,,,,
355,Q3235565,Newton's third law of motion,f/p,\mathbf{F}_{12}=-\mathbf{F}_{21},1,hp,,,,
356,Q170475,oscillation,f,z(t) = A \mathrm{e}^{-\zeta \omega_0 t} \sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right),1,(hp),,,,
357,Q20702,pendulum,f,\frac{d^2\theta}{dt^2} + \frac{g}{l}\sin\theta = 0,1,(hp),,,,
358,Q25342,power,-,P = \frac{\mathrm{d} E}{\mathrm{d} t},3,cf,,,,
359,Q240105,radial velocity,f,\omega = \frac{d\phi}{dt} = \frac{v_\perp}{r},1,hp,,,,
360,Q11663629,rest energy,-,E_0 = m_0 c_0^2,1,cf,,,,
361,Q96941619,rest mass,f/p,(m_\mathrm{rest})c^2=\sqrt{E_\mathrm{total}^2-(|\mathbf{p}|c)^2},1,hp,,,,
362,Q676622,Rossby number,-,\mathit{Ro} = \frac{v}{2 l \omega_{\mathrm{E}} \sin{\varphi}},1,cf,,,,
363,Q3711325,speed,p,v = s / t,2,hp,,,,
364,Q2111,speed of light,f/p,c=f\lambda,1,hp,,,,
365,Q12507,sphere,-,x^2+y^2+z^2=r^2,1,hp,,,,
366,Q3299367,spherical pendulum,p,\psi(x,t) = A \cos (k x - \omega t+\varphi),1,hp,,,
367,Q824561,Stokes' law,-,F_d = 6\pi\,\mu\,R\,V,1,hp,
368,Q206175,stress,f/p,\sigma = \frac{F}{A},1,hp,,,,
369,Q2822927,tangential acceleration,f/p,\alpha = \frac{dv_{\perp}}{dt},1,hp,,,,
370,Q103715245,tangential velocity,i/f/p,v = \omega r,2,hp,,,,
371,Q48103,torque,-,T = \mathbf{M} \cdot \mathbf{e}_{\mathrm{Q}},9,cf,,,,
372,Q376742,uniform motion,f/p,\mathbf{s} = \mathbf{v}t,1,hp,,,,
373,Q11465,velocity,-,\mathbf{v} = \frac{\mathrm{d} \mathbf{r}}{\mathrm{d} t},17,cf,,,,
374,Q192510,wavenumber,-,\sigma = 1/\lambda,1,cf,,,,
375,Q42213,work,-,A = \int_{\Gamma} \mathbf{F} \cdot \mathrm{d} \mathbf{r},12,cf,,,,
