GoldID	Name	Formula	(Score,Rank)	DCG	nDCG
310	acceleration	\ \mathbf{v}=\dot{\mathbf{x}}=\frac{d\mathbf{x}}{dt}=\frac{\partial\chi(%\mathbf{X},t)}{\partial t}			
310	acceleration	\boldsymbol{F}_{C}=-2\,m\,\boldsymbol{\Omega\times v}			
310	acceleration	\boldsymbol{a}_{C}=-2\boldsymbol{\Omega\times v}=2\,\omega\,\begin{pmatrix}v_{%n}\sin\varphi-v_{u}\cos\varphi\\-v_{e}\sin\varphi\\v_{e}\cos\varphi\end{pmatrix}\ .			
310	acceleration	\mathbf{r}_{B}(t)=vt\ \left(\cos(\theta-\omega t),\ \sin(\theta-\omega t)%\right)\ ,			
310	acceleration	\mathbf{a_{\mathrm{Cptl}}}=-\omega^{2}\mathbf{r_{B}}(t)\ ,			
310	acceleration	\kappa=\left\|\frac{d\mathbf{T}}{ds}\right\|.			
310	acceleration	\kappa(s)=\|\mathbf{T}^{\prime}(s)\|=\|\gamma^{\prime\prime}(s)\|.			
310	acceleration	\dot{x}(t)=x^{\prime}(t)=-32t+16,\,\!			
310	acceleration	\,mg=\pi d\gamma\sin\alpha			
310	acceleration	\,mg=\pi d\gamma			
310	acceleration	\mathbf{v}=\frac{d\mathbf{r}}{dt},\quad\mathbf{a}=\frac{d\mathbf{v}}{dt}=\frac%{d^{2}\mathbf{r}}{dt^{2}}\,\!			
310	acceleration	\mathbf{a}=\boldsymbol{\alpha}\times\mathbf{r}+\boldsymbol{\omega}\times%\mathbf{v}\,\!			
310	acceleration	\begin{aligned}\displaystyle r&\displaystyle=\frac{{a}t^{2}}{2}+2r-2r_{0}-vt+r%_{0}\\\displaystyle 0&\displaystyle=\frac{{a}t^{2}}{2}+r-r_{0}-vt\\\displaystyle r&\displaystyle=r_{0}+vt-\frac{{a}t^{2}}{2}\quad[5]\end{aligned}\,\!			
310	acceleration	-\frac{GmM}{|\mathbf{r}|^{2}}\mathbf{\hat{e}}_{r}+\mathbf{R}=m\frac{d^{2}%\mathbf{r}}{dt^{2}}+0\quad\Rightarrow\quad\frac{d^{2}\mathbf{r}}{dt^{2}}=-%\frac{GM}{|\mathbf{r}|^{2}}\mathbf{\hat{e}}_{r}+\mathbf{A}\,\!			
310	acceleration	N=mg\,			
310	acceleration	ds^{2}=-r^{2}dt^{2}+dr^{2}\,			
310	acceleration	{R(r+dr)-R(r)\over R}={dr\over r}=gdr\,			
310	acceleration	P=\eta\rho\,Qgh\!			
310	acceleration	\text{Power (W)}=0.85\times 1000\times 80\times 9.81\times 145			
310	acceleration	\zeta(t)=\dot{\alpha}(t)=\ddot{\omega}(t)=\overset{...}{\theta}(t)			
310	acceleration	A=\pi ab\,.			
310	acceleration	r^{2}\dot{\theta}=nab			
310	acceleration	p\ddot{r}=nab\varepsilon\cos\theta\,\dot{\theta}=nab\varepsilon\cos\theta\,%\frac{nab}{r^{2}}=\frac{n^{2}a^{2}b^{2}}{r^{2}}\varepsilon\cos\theta.			
310	acceleration	a_{r}=-\frac{n^{2}a^{3}}{r^{2}}.			
310	acceleration	\alpha=Gm_{\text{Sun}}			
310	acceleration	\Phi_{pre}=\frac{\frac{1}{2}m_{i}c_{s}^{2}}{Ze}=k_{B}(T_{e}+Z\gamma_{i}T_{i})/%(2Ze)			
310	acceleration	\mathbf{F}_{c}=2\omega m\frac{{\rm d}r}{{\rm d}t}\mathbb{\hat{e}}_{\theta}=2%\omega mv\mathbb{\hat{e}}_{\theta}\,\!			
310	acceleration	\theta=\omega_{1}t-\frac{1}{2}\alpha t^{2}			
310	acceleration	\mathbf{F}^{\prime}=\mathbf{F}-\mathbf{F}_{\mathrm{app}}			
310	acceleration	\mathbf{g}=-\mu\frac{\hat{\mathbf{R}}}{|\mathbf{R}|^{2}}			
310	acceleration	F=m\frac{dv}{dt}=ma,			
310	acceleration	-\nabla p+\rho\mathbf{g}=0\,.			
310	acceleration	\mathbf{F}=\frac{\mathrm{d}\mathbf{p}}{\mathrm{d}t}=\frac{\mathrm{d}(m\mathbf{%v})}{\mathrm{d}t}.			
310	acceleration	V_{e}=I_{sp}*g_{n}			
310	acceleration	\frac{\delta\hat{\boldsymbol{\theta}}}{\delta t}=\dot{\boldsymbol{\theta}}=-%\cos(\theta)\dot{\theta}\hat{\mathbb{x}}-\sin(\theta)\dot{\theta}\hat{\mathbb{%y}}=-\dot{\theta}\hat{\mathbb{r}}			
310	acceleration	M({}^{12}\mathrm{C})=N_{\mathrm{A}}m({}^{12}\mathrm{C})\,			
310	acceleration	F_{\varphi}=mr\ddot{\varphi}+2m\dot{r}\dot{\varphi}\ .			
310	acceleration	U=mgh\!			
310	acceleration	a(t)=\frac{\mathrm{d}^{2}x}{\mathrm{d}t^{2}}=-A\omega^{2}\cos(\omega t-\varphi).			
310	acceleration	T=2\pi{\sqrt{\frac{m}{k}}}			
310	acceleration	T=2\pi\sqrt{\frac{\ell}{g}}			
310	acceleration	-mg\ell\theta=I\alpha			
310	acceleration	E=0.772m_{1}(\Delta v)^{2}			
310	acceleration	dS/S=\rho/\sigma\cdot(G\cdot M/r^{2}-\omega^{2}\cdot r)\cdot dr			
310	acceleration	2\eta_{\mu\nu}A^{\mu}U^{\nu}=0.			
310	acceleration	\mathbf{v}=\dot{r}\mathbf{\hat{r}}+r\,\dot{\theta}\,\hat{\boldsymbol{\theta}}+%r\,\dot{\varphi}\,\sin\theta\mathbf{\hat{\boldsymbol{\varphi}}},			
310	acceleration	\vec{F}=-\vec{\nabla}(\mu+M_{4}gz).			
310	acceleration	\vec{F}_{g}=-\hat{r}~{}G~{}\frac{Mm}{R^{2}}			
310	acceleration	\vec{a}_{g}=-\hat{r}~{}G~{}\frac{M}{R^{2}}\pm\hat{r}~{}G~{}\frac{2M}{R^{2}}~{}%\frac{\Delta r}{R}+\cdots			
310	acceleration	\Delta t=\int^{\Delta\tau}_{0}e^{\pm\int^{\bar{\tau}}_{0}a(\tau^{\prime})d\tau%^{\prime}}\,d\bar{\tau},			
310	acceleration	\Delta t=\tfrac{4}{a}\sinh(\tfrac{a}{4}\Delta\tau)			
310	acceleration	\rho=			
310	acceleration	h=			
311	angular acceleration	n=1			
311	angular acceleration	\mathbf{V}_{i}=\mathbf{V}+\boldsymbol{\omega}\times\mathbf{r}_{i}			
311	angular acceleration	\mathbf{F}^{\prime}=\mathbf{F}-\mathbf{F}_{\mathrm{app}}			
311	angular acceleration	{\alpha}=\frac{\tau}{I}.			
311	angular acceleration	\mathbf{L}=\mathbf{r}\times\mathbf{p}			
311	angular acceleration	W=\frac{dA(t)}{dt}\cdot A^{-1}(t)			
311	angular acceleration	\zeta(t)=\dot{\alpha}(t)=\ddot{\omega}(t)=\overset{...}{\theta}(t)			
311	angular acceleration	\sin\theta=1.22\frac{\lambda}{D}			
311	angular acceleration	v_{\mathrm{p}}=\frac{\lambda}{T}.			
311	angular acceleration	\mbox{power}=\frac{\mbox{force}\times\mbox{linear distance}}{\mbox{time}}=%\frac{\left(\frac{\mbox{torque}}{\displaystyle{r}}\right)\times(r\times\mbox{%angular speed}\times t)}{t}=\mbox{torque}\times\mbox{angular speed}.			
311	angular acceleration	\mathbf{F}=m\mathbf{g}			
311	angular acceleration	g=-G\cdot M/r^{2}+\omega^{2}\cdot r			
311	angular acceleration	\boldsymbol{\tau}=I\boldsymbol{\alpha},			
311	angular acceleration	\int\boldsymbol{\tau}dt=I\boldsymbol{\omega}+constant.			
311	angular acceleration	\boldsymbol{\tau}=\mathbf{0},			
311	angular acceleration	\frac{d\mathbf{L}}{dt}=I\boldsymbol{\alpha}.			
311	angular acceleration	\mathbf{h}=\mathbf{r}\times\mathbf{v},			
311	angular acceleration	\mathbf{V}_{i}=\mathbf{V}+\mathbf{v}_{i}.			
311	angular acceleration	=\mathbf{0},			
311	angular acceleration	\sum_{i}\mathbf{R}\times m_{i}\mathbf{V}=\mathbf{R}\times\sum_{i}m_{i}\mathbf{%V}=\mathbf{R}\times M\mathbf{V},			
311	angular acceleration	\mathbf{p}=m\mathbf{v}=\mathbf{P}-e\mathbf{A}			
311	angular acceleration	\omega=\frac{|\mathrm{\mathbf{v}}|\sin(\theta)}{|\mathrm{\mathbf{r}}|}			
311	angular acceleration	\omega_{1}+\omega_{2}=\omega_{2}+\omega_{1}			
311	angular acceleration	\frac{dA(t)}{dt}=W\cdot A(t)			
311	angular acceleration	\boldsymbol{\omega}=[\omega_{x},\omega_{y},\omega_{z}]			
311	angular acceleration	\ell=3			
311	angular acceleration	Q=\frac{2}{3}[(n_{\mathrm{u}}-n_{\mathrm{\bar{u}}})+(n_{\mathrm{c}}-n_{\mathrm%{\bar{c}}})+(n_{\mathrm{t}}-n_{\mathrm{\bar{t}}})]-\frac{1}{3}[(n_{\mathrm{d}}%-n_{\mathrm{\bar{d}}})+(n_{\mathrm{s}}-n_{\mathrm{\bar{s}}})+(n_{\mathrm{b}}-n%_{\mathrm{\bar{b}}})].			
311	angular acceleration	\scriptstyle\mathbf{L}=\hbar			
311	angular acceleration	\int_{0}^{2\pi}Ld\theta=2\pi L=nh.			
311	angular acceleration	l=2Me			
311	angular acceleration	\theta=0			
311	angular acceleration	\frac{d^{2}\theta}{dt^{2}}=-\omega^{2}\theta			
311	angular acceleration	\kappa=\sqrt{\left(1+\frac{h}{R}\right)^{2}-1}\ .			
311	angular acceleration	\mathbf{F}^{\prime}=\mathbf{F}-2m\mathbf{\Omega}\times\mathbf{v}_{B}-m\mathbf{%\Omega}\times(\mathbf{\Omega}\times\mathbf{x}_{B})-m\frac{d\mathbf{\Omega}}{dt%}\times\mathbf{x}_{B}\ ,			
311	angular acceleration	\mathrm{MA}=\frac{F_{B}}{F_{A}}=\frac{v_{A}}{v_{B}}.			
311	angular acceleration	-mg\ell\theta=I\alpha			
311	angular acceleration	\boldsymbol{\tau}=\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t}			
311	angular acceleration	\hat{A}=J_{x},~{}~{}\hat{B}=J_{y}			
311	angular acceleration	\mathbf{\bar{a}}=\frac{\Delta\mathbf{v}}{\Delta t}.			
311	angular acceleration	a\equiv\dot{v}=\dot{\beta}c			
311	angular acceleration	\boldsymbol{a}_{C}=-2\boldsymbol{\Omega\times v}=2\,\omega\,\begin{pmatrix}-v_%{u}\\0\\v_{e}\end{pmatrix}\ .			
311	angular acceleration	=2\omega v\left(\sin\alpha,\ -\cos\alpha\right)\ .			
311	angular acceleration	\therefore v^{2}=v_{0}^{2}+2(\mathbf{a}\cdot(\mathbf{r}-\mathbf{r}_{0}))			
311	angular acceleration	\vec{F}=m\vec{a}.			
311	angular acceleration	\frac{d(r^{2}\dot{\theta})}{dt}=r(2\dot{r}\dot{\theta}+r\ddot{\theta})=ra_{%\theta}=0.			
311	angular acceleration	\mathbf{\ddot{r}}_{\text{Earth}}=Gm_{\text{Sun}}r_{\text{Earth},\text{Sun}}^{-%2}\hat{\mathbf{r}}_{\text{Earth},\text{Sun}}			
311	angular acceleration	\frac{d^{2}}{d\theta^{2}}\left(\frac{1}{\mathbf{r}}\right)+\frac{1}{\mathbf{r}%}=-\frac{\mu\mathbf{r}^{2}}{\mathbf{l}^{2}}\mathbf{F}(\mathbf{r})			
311	angular acceleration	\mathbf{F}=m\,\frac{\mathrm{d}\mathbf{v}}{\mathrm{d}t}=m\mathbf{a},			
311	angular acceleration	t=R/c			
311	angular acceleration	{\tau}=I\ {\alpha}			
311	angular acceleration	s=r\theta\,			
311	angular acceleration	\theta=\frac{s}{r}			
311	angular acceleration	\Delta\theta=\Delta\theta_{2}-\Delta\theta_{1}			
311	angular acceleration	p=mv,			
311	angular acceleration	L=I\omega.			
311	angular acceleration	\omega=v/r			
311	angular acceleration	p=mv			
311	angular acceleration	L=r\sin{\theta}mv,			
311	angular acceleration	v=r\omega,			
311	angular acceleration	\sum_{i}I_{i}=\sum_{i}r_{i}^{2}m_{i}			
311	angular acceleration	\mathbf{L}=\mathbf{0}+constant.			
311	angular acceleration	\mathbf{L}=m\mathbf{h}.			
311	angular acceleration	d\mathbf{L}=\mathbf{r}\times dm\mathbf{v}=\mathbf{r}\times\rho(\mathbf{r})dV%\mathbf{v}=dV\mathbf{r}\times\rho(\mathbf{r})\mathbf{v}			
311	angular acceleration	\mathbf{L}=\int_{V}dV\mathbf{r}\times\rho(\mathbf{r})\mathbf{v}			
311	angular acceleration	\sum_{i}I_{i}\boldsymbol{\omega}_{i}=\mathbf{0},			
311	angular acceleration	I_{R}\boldsymbol{\omega}_{R}=\mathbf{0},			
311	angular acceleration	L_{ij}=x_{i}p_{j}-x_{j}p_{i}\,.			
311	angular acceleration	\mathbf{K}=\mathbf{r}\times(\mathbf{P}-e\mathbf{A})			
311	angular acceleration	\boldsymbol{\omega}=\frac{\mathbb{r}\times\mathbb{v}}{|\mathbb{r}|^{2}}			
311	angular acceleration	\frac{d\vec{r}(t)}{dt}=\vec{\omega}\times\vec{r}			
311	angular acceleration	\frac{d\vec{r}(t)}{dt}=W\cdot\vec{r}			
311	angular acceleration	\frac{dA(t)}{A}=W\cdot{dt}			
311	angular acceleration	A(t)=e^{W\cdot t}A(0)			
311	angular acceleration	W\mathbf{r}=\omega\times\mathbf{r}			
311	angular acceleration	W=\frac{d\mathcal{R}}{dt}\mathcal{R}^{T}			
311	angular acceleration	\boldsymbol{\omega}_{1}=\boldsymbol{\omega}_{2}			
311	angular acceleration	ψ(r, θ, φ)=R(r) Θ(θ) Φ(φ)			
311	angular acceleration	P=(-1)^{L}.			
311	angular acceleration	I(t)\cos(\omega t)-Q(t)\sin(\omega t)=\mathrm{Re}\{Z(t)e^{j\omega t}\}\,			
311	angular acceleration	S=0			
311	angular acceleration	\Delta J=0			
311	angular acceleration	S=1			
311	angular acceleration	S=			
311	angular acceleration	r_{\mathrm{sh}}=\frac{2GM}{c^{2}}\approx 2.95\,\frac{M}{M_{\mathrm{Sun}}}~{}%\mathrm{km,}			
311	angular acceleration	L=n{h\over 2\pi}=n\hbar			
311	angular acceleration	P_{cc}(\theta;\zeta)=\frac{1}{2\pi}\frac{1-|\zeta|^{2}}{|e^{i\theta}-\zeta|^{2}}			
311	angular acceleration	\mathbf{r}_{A}(t)=vt\ \left(\cos(\theta),\ \sin(\theta)\right)\ .			
311	angular acceleration	{dJ\over dE}=T			
311	angular acceleration	\frac{\mathrm{d}\sigma}{d\Omega}=\frac{1}{nAI\Omega}\frac{\mathrm{d}w}{\mathrm%{d}z}			
311	angular acceleration	\gamma=\frac{1}{\sqrt{1-\beta^{2}}}=\frac{1}{\sqrt{1-\left(\frac{v}{c}\right)^%{2}}}			
311	angular acceleration	\overrightarrow{\mu}=g^{(l)}\overrightarrow{l}+g^{(s)}\overrightarrow{s}			
311	angular acceleration	l=1			
311	angular acceleration	~{}d\theta_{n}=n\lambda,~{}n=0,1,2,\ldots			
311	angular acceleration	-\tan t=\frac{b}{a}\cot\phi=\sqrt{(1-e^{2})}\cot\phi=(1-g)\cot\phi=\frac{-\tan%\theta}{\sqrt{(1-e^{2})}}=-\frac{a}{b}\tan\theta.			
311	angular acceleration	r(\theta)=\frac{ab}{\sqrt{(b\cos\theta)^{2}+(a\sin\theta)^{2}}}			
311	angular acceleration	\frac{d^{2}\mathbf{r}}{dt^{2}}=-\sum_{n}\omega_{n}^{2}\mathbf{r}_{n}			
311	angular acceleration	\frac{d\mathbf{L}_{i}}{dt}=\mathbf{\tau}_{E}+\sum_{i\neq j}\mathbf{\tau}_{ij}\,\!			
311	angular acceleration	\lambda=2\pi d			
311	angular acceleration	x(t)={1\over{2\pi}}\int_{-\infty}^{\infty}\hat{x}_{1}(\omega)e^{it\omega}d\omega.			
311	angular acceleration	E(e^{it\cdot X})=\int e^{it\cdot x}d\mu_{X}(x)			
311	angular acceleration	\frac{\mathrm{d}\theta}{\mathrm{d}x}=k			
311	angular acceleration	r=\sqrt[3]{\frac{\mu}{\omega^{2}}}			
311	angular acceleration	(X_{2}=\cos\Omega t,Y_{2}=-\sin\Omega t,Z_{2}=0)^{T}			
311	angular acceleration	L_{x}\equiv\frac{\partial\mathcal{L}_{1}}{\partial\dot{\psi}}=I_{1}(\dot{\psi}%-\Omega\sin\delta\cos\alpha)=\mathrm{constant}.			
311	angular acceleration	\vec{L}=I\vec{\omega}			
311	angular acceleration	T=\frac{Ze^{2}}{2r}			
311	angular acceleration	\vec{\alpha}(t)=\frac{\mathrm{d}}{\mathrm{d}t}\vec{\Omega}(t)=\dot{\vec{\Omega%}}(t)			
311	angular acceleration	\vec{\zeta}(t)=\frac{\mathrm{d}}{\mathrm{d}t}\vec{\alpha}(t)=\dot{\vec{\alpha}%}(t)			
311	angular acceleration	\mathbf{p}=\boldsymbol{\omega}\times\mathbf{m}\,\!			
311	angular acceleration	\Delta\mathbf{p}=\mathbf{F}\Delta t			
311	angular acceleration	\Delta\mathbf{L}=\boldsymbol{\tau}\Delta t			
311	angular acceleration	\mathbf{I}\cdot\boldsymbol{\alpha}+\boldsymbol{\omega}\times\left(\mathbf{I}%\cdot\boldsymbol{\omega}\right)=\boldsymbol{\tau}\,\!			
311	angular acceleration	\mathbf{p}=m\left(\mathbb{\hat{e}}_{r}\frac{\mathrm{d}r}{\mathrm{d}t}+r\omega%\mathbb{\hat{e}}_{\theta}\right)			
311	angular acceleration	If:{\delta}=\frac{d_{B}}{D_{B}}\qquad Then:d_{B}=\delta\cdot D_{B}\quad And:R_%{B}={\left({\frac{\delta\cdot D_{B}}{2}}\right)}			
311	angular acceleration	Scenario\ II:\qquad\frac{L_{\rm B}}{L_{\odot}}=\quad{\left({\frac{730}{1}}%\right)}^{2}{\left({\frac{3,641}{5,778}}\right)}^{4}=\ 84,000L_{\odot}(rounded)			
311	angular acceleration	Q=\frac{2}{3}[(n_{u}-n_{\bar{u}})+(n_{c}-n_{\bar{c}})+(n_{t}-n_{\bar{t}})]-%\frac{1}{3}[(n_{d}-n_{\bar{d}})+(n_{s}-n_{\bar{s}})+(n_{b}-n_{\bar{b}})].			
311	angular acceleration	P_{\mu}=|\mathbf{P}_{\mu}|			
311	angular acceleration	d_{S^{n-1}}V=\sin^{n-2}(\phi_{1})\sin^{n-3}(\phi_{2})\cdots\sin(\phi_{n-2})\,d%\phi_{1}\,d\phi_{2}\cdots d\phi_{n-1}.			
311	angular acceleration	\mathbf{\tau}=\mathbf{\Omega}\times\mathbf{L},			
311	angular acceleration	\chi_{m}=\frac{\partial M}{\partial H}=\frac{N_{\text{A }}}{3k_{B}T}\mu_{%\mathrm{eff}}^{2}\text{ ; and }\mu_{\mathrm{eff}}=g_{J}\sqrt{J(J+1)}\mu_{B}			
311	angular acceleration	p=\hbar k=\frac{h\nu}{c}=\frac{h}{\lambda}.			
311	angular acceleration	(re^{i\varphi})^{n}=r^{n}e^{in\varphi}\,			
311	angular acceleration	W=PT\,.			
311	angular acceleration	={\mu_{\delta}}^{2}+{\mu_{{\alpha\ast}}}^{2}			
311	angular acceleration	R_{\mathrm{g}}^{2}\ \stackrel{\mathrm{def}}{=}\ \frac{1}{N}\langle\sum_{k=1}^{%N}\left(\mathbf{r}_{k}-\mathbf{r}_{\mathrm{mean}}\right)^{2}\rangle			
311	angular acceleration	V_{C}=-\frac{1}{2}\omega^{2}\Delta d^{2}=-\frac{GM}{2d^{3}}\Delta d^{2}\,			
311	angular acceleration	{W}={T*\omega}			
311	angular acceleration	{U}={\omega*r}			
311	angular acceleration	\mathbf{L}=\mathbf{r}\times\boldsymbol{p}			
311	angular acceleration	P=\boldsymbol{\tau}\cdot\boldsymbol{\omega},			
311	angular acceleration	\tau_{\phi}(\omega)=-\frac{\phi(\omega)}{\omega}.			
311	angular acceleration	n=0			
311	angular acceleration	\oint_{\gamma}\langle V(x),\mathrm{d}x\rangle=\oint_{\gamma}\langle\nabla f(x)%,\mathrm{d}x\rangle=f(\gamma(1))-f(\gamma(0)).			
311	angular acceleration	\mathbf{v}=\int\mathbf{a}\ dt			
311	angular acceleration	\mathbf{a}=\frac{d\mathbf{v}}{dt}=\frac{d^{2}\mathbf{x}}{dt^{2}}			
311	angular acceleration	\mathbf{F}=m\mathbf{a}\quad\to\quad\mathbf{a}=\mathbf{F}/m			
311	angular acceleration	\mathbf{u}_{\mathrm{t}}=\frac{\mathbf{v}(t)}{v(t)}\ ,			
311	angular acceleration	\textrm{a}={{v^{2}}\over{r}}			
311	angular acceleration	\mathbf{a}={-\omega^{2}}\mathbf{r}			
311	angular acceleration	a=r\alpha.			
311	angular acceleration	z=c\;T\;\log(P_{o}/P),			
311	angular acceleration	\frac{v^{2}}{2}+gz+\left(\frac{\gamma}{\gamma-1}\right)\frac{p}{\rho}=\text{constant}			
311	angular acceleration	\Delta E_{1}=\left[\frac{1}{2}\rho_{1}v_{1}^{2}+\Psi_{1}\rho_{1}+\epsilon_{1}%\rho_{1}+p_{1}\right]A_{1}v_{1}\,\Delta t			
311	angular acceleration	\frac{dy}{dx}=\tan\varphi=\frac{\lambda_{0}gp}{T_{0}},\ T=\sqrt{T_{0}^{2}+%\lambda_{0}^{2}g^{2}p^{2}},\,			
311	angular acceleration	\frac{d\mathbf{T}}{ds}+\mathbf{G}=\mathbf{0}.\,			
311	angular acceleration	\ \mathbf{v}=\dot{\mathbf{x}}=\frac{d\mathbf{x}}{dt}=\frac{\partial\chi(%\mathbf{X},t)}{\partial t}			
311	angular acceleration	\boldsymbol{F}_{C}=-2\,m\,\boldsymbol{\Omega\times v}			
311	angular acceleration	\boldsymbol{a}_{C}=-2\boldsymbol{\Omega\times v}=2\,\omega\,\begin{pmatrix}v_{%n}\sin\varphi-v_{u}\cos\varphi\\-v_{e}\sin\varphi\\v_{e}\cos\varphi\end{pmatrix}\ .			
311	angular acceleration	\mathbf{r}_{B}(t)=vt\ \left(\cos(\theta-\omega t),\ \sin(\theta-\omega t)%\right)\ ,			
311	angular acceleration	\mathbf{a_{\mathrm{Cptl}}}=-\omega^{2}\mathbf{r_{B}}(t)\ ,			
311	angular acceleration	\kappa=\left\|\frac{d\mathbf{T}}{ds}\right\|.			
311	angular acceleration	\kappa(s)=\|\mathbf{T}^{\prime}(s)\|=\|\gamma^{\prime\prime}(s)\|.			
311	angular acceleration	\dot{x}(t)=x^{\prime}(t)=-32t+16,\,\!			
311	angular acceleration	\,mg=\pi d\gamma\sin\alpha			
311	angular acceleration	\,mg=\pi d\gamma			
311	angular acceleration	\mathbf{v}=\frac{d\mathbf{r}}{dt},\quad\mathbf{a}=\frac{d\mathbf{v}}{dt}=\frac%{d^{2}\mathbf{r}}{dt^{2}}\,\!			
311	angular acceleration	\mathbf{a}=\boldsymbol{\alpha}\times\mathbf{r}+\boldsymbol{\omega}\times%\mathbf{v}\,\!			
311	angular acceleration	\begin{aligned}\displaystyle r&\displaystyle=\frac{{a}t^{2}}{2}+2r-2r_{0}-vt+r%_{0}\\\displaystyle 0&\displaystyle=\frac{{a}t^{2}}{2}+r-r_{0}-vt\\\displaystyle r&\displaystyle=r_{0}+vt-\frac{{a}t^{2}}{2}\quad[5]\end{aligned}\,\!			
311	angular acceleration	-\frac{GmM}{|\mathbf{r}|^{2}}\mathbf{\hat{e}}_{r}+\mathbf{R}=m\frac{d^{2}%\mathbf{r}}{dt^{2}}+0\quad\Rightarrow\quad\frac{d^{2}\mathbf{r}}{dt^{2}}=-%\frac{GM}{|\mathbf{r}|^{2}}\mathbf{\hat{e}}_{r}+\mathbf{A}\,\!			
311	angular acceleration	N=mg\,			
311	angular acceleration	ds^{2}=-r^{2}dt^{2}+dr^{2}\,			
311	angular acceleration	{R(r+dr)-R(r)\over R}={dr\over r}=gdr\,			
311	angular acceleration	P=\eta\rho\,Qgh\!			
311	angular acceleration	\text{Power (W)}=0.85\times 1000\times 80\times 9.81\times 145			
311	angular acceleration	A=\pi ab\,.			
311	angular acceleration	r^{2}\dot{\theta}=nab			
311	angular acceleration	p\ddot{r}=nab\varepsilon\cos\theta\,\dot{\theta}=nab\varepsilon\cos\theta\,%\frac{nab}{r^{2}}=\frac{n^{2}a^{2}b^{2}}{r^{2}}\varepsilon\cos\theta.			
311	angular acceleration	a_{r}=-\frac{n^{2}a^{3}}{r^{2}}.			
311	angular acceleration	\alpha=Gm_{\text{Sun}}			
311	angular acceleration	\Phi_{pre}=\frac{\frac{1}{2}m_{i}c_{s}^{2}}{Ze}=k_{B}(T_{e}+Z\gamma_{i}T_{i})/%(2Ze)			
311	angular acceleration	\mathbf{F}_{c}=2\omega m\frac{{\rm d}r}{{\rm d}t}\mathbb{\hat{e}}_{\theta}=2%\omega mv\mathbb{\hat{e}}_{\theta}\,\!			
311	angular acceleration	\theta=\omega_{1}t-\frac{1}{2}\alpha t^{2}			
311	angular acceleration	\mathbf{g}=-\mu\frac{\hat{\mathbf{R}}}{|\mathbf{R}|^{2}}			
311	angular acceleration	F=m\frac{dv}{dt}=ma,			
311	angular acceleration	-\nabla p+\rho\mathbf{g}=0\,.			
